latitude,longitude,bg_weight
40.37,25.91,8.08218992953691e-06
40.39,25.92,1.4109384618432586e-05
40.44,25.87,0.00023291260841684647
40.39,25.92,1.4943468060524268e-05
40.51,26.02,0.000984954379348535
40.52,25.98,0.00034531545154137255
40.39,25.94,5.576839944398948e-05
40.37,25.9,0.00010966976992843325
40.35,25.77,0.002366852533804753
39.7,27.66,0.2681784554616534
40.43,26.09,0.00035946930303909497
40.49,27.53,0.019034326530724455
40.1,29.31,0.008432255920793774
40.19,28.77,0.0030804936878042755
39.97,25.95,0.4444192155937029
40.39,26.12,0.0008648683837569893
40.83,27.48,0.1480119184625993
40.48,25.74,0.02326188126268036
40.4,25.84,0.0005139294450116072
40.65,27.54,0.0196888421321032
40.42,26.08,0.00035678965896224213
39.9,29.15,0.49618082337326475
40.78,27.9,0.0681009641701934
39.87,29.31,0.06489165897672222
40.64,27.58,0.0063379628538575705
39.71,26.06,0.5202780609248168
39.67,26.31,0.14816472895468424
40.45,25.97,0.0012000221911711018
40.34,26.16,0.004038766033056862
40.71,27.43,0.0010693095336549163
40.85,27.71,0.04129693248908828
40.69,29.17,0.05757793811714762
40.43,25.88,0.0006458868345149416
40.44,26.12,0.0012518743783611619
39.98,28.1,0.4992938715991053
40.63,27.74,0.22039893883290174
40.48,29.22,0.03050820112699626
40.28,29.69,0.42547942823001705
41.08,28.86,0.29350665161119294
40.33,29.7,0.008471133220148586
40.73,29.07,0.026738481221418864
40.22,29.35,0.1167907269720061
40.48,27.92,0.5833229028611547
40.41,26.16,0.00150596329053998
40.63,27.48,0.024999013093660483
40.39,28.63,0.08776534547119186
40.64,29.05,0.009613541324693164
39.97,27.8,0.01809936174887572
39.66,29.41,0.0048350613676203524
40.35,27.63,0.45922102752180227
40.23,29.48,0.21023666701782484
40.68,30.13,0.6710711306901853
39.65,27.75,0.3720705833854856
39.63,29.42,0.003946617560508958
39.9,27.18,0.2857676622825055
41.13,28.86,0.1009043297572878
39.63,28.81,0.9137069047177968
40.41,27.41,0.28722703692694873
39.63,29.41,0.00041687096588260975
41.06,29.36,0.09748168717865613
40.66,25.95,0.14701012095262134
40.7,29.39,0.49756368590831557
40.83,27.73,0.00965266434153711
40.79,29.47,0.08535175615148538
39.76,27.78,0.2499001045493594
39.6,29.39,0.004092284757446385
40.37,27.47,0.06074473076651965
41.14,28.9,0.01604721344555793
